,full,mar20_pct_change,apr20_pct_change,may20_pct_change,jun20_pct_change,jul20_pct_change,aug20_pct_change,sep20_pct_change,oct20_pct_change,nov20_pct_change,dec20_pct_change,jan21_pct_change,feb21_pct_change,mar21_pct_change,apr21_pct_change,may21_pct_change
10,116 ST IRT,-1.8669681408241996,-85.11472010224135,-86.56931576915653,-81.20269356698789,-73.26299685362122,-71.21041318031914,-66.32318845913223,-64.65748888860588,-65.54291307273505,-64.57732801799038,-65.4352934721981,-71.06346212191164,-64.09487050982486,-66.32063756164021,-63.23827446438911
11,116 ST-COLUMBIA IRT,-13.53736312221732,-96.27512144243677,-96.28420762742118,-92.06538739678109,-89.61808462677917,-87.07281295839705,-86.29178725847463,-86.26835196888672,-87.5893558890677,-86.79072247400693,-78.13367844913586,-87.78703493586626,-82.94674336611617,-86.08940867432182,-82.09320590365256
12,121 ST BMT,-10.661537404685031,-85.6623637047249,-87.67248191599295,-71.6581099068264,-68.13688212927757,-68.59146523425844,-56.43713763799539,-58.118988243676526,-60.064550125148195,-58.37654854508787,-53.71481310567605,-60.755191014557006,-48.996539792387544,-59.80072690813385,-57.23056349158105
13,125 ST IND,0.09174983254248355,-80.69347843576072,-87.43456628725468,-81.79515728426179,-72.13912462927061,-73.35435818291619,-66.23959477830127,-66.32599246112595,-67.5367478120329,-69.21176286529675,-65.85528252428546,-72.5767424751855,-66.09548982116748,-55.82640366851701,-64.03563267444939
14,125 ST IRT,-5.123868942145085,-84.66218141317862,-84.43194893575095,-79.25378845249388,-72.55366046084148,-74.14076005742916,-69.76372183451097,-67.73209482600197,-68.29258743266567,-67.92938580360428,-66.74556716227517,-73.67384137507057,-66.97332727350197,-69.42570192706174,-63.12198486229331
15,135 ST IND,4.81157672595719,-89.27686545664073,-92.49524129436793,-87.02064896755162,-76.32080310690993,-73.23830702489884,-75.44227886056971,-72.44057490326146,-75.15513436323509,-77.828302626421,-73.41901937090336,-78.82241759500559,-75.89311396191681,-73.29588014981273,-70.0817377673273
16,135 ST IRT,-4.532447566572778,-88.3068164265066,-85.48833313126192,-79.97630898822628,-72.01501100176839,-70.77232125936501,-63.40360803491464,-64.86924839866016,-65.82915714951307,-60.69629014396456,-68.9385213096191,-75.98530513250348,-69.64525001763171,-72.292958492398,-70.06954930726245
17,137 ST CITY COL IRT,5.741444866920152,-89.10826314006331,-91.06904255432865,-82.59441238644804,-72.59336361342417,-67.71642923375201,-68.57008998084633,-65.77883319427508,-67.69365571790561,-67.8038297215216,-64.95861733203505,-73.4028132708162,-65.93289284430061,-67.92995081603327,-68.46639800750393
18,138/GRAND CONC IRT,-31.016666666666666,-83.00334768053563,-84.69532573364464,-84.52130119738939,-85.23388565590156,-81.04202506758418,-72.0980422383228,-64.51273214627608,-64.88896816195488,-39.90601006089489,-36.61062030967987,-43.77099117394361,-20.66521704115326,-57.82879005260641,-54.09971157807993
19,14 ST IND,-2.1616243838466063,-95.47687676287923,-96.18271243554179,-92.34915177204059,-85.97234690244184,-84.27559249732244,-79.48512450616238,-80.24902507900222,-80.85123858334975,-81.8147027961237,-82.46433244692078,-85.03538524942502,-79.76103535937139,-80.11670867413827,-78.0344287683589
