,index,Reg Valid Date,date,month
97,2020-11-16,3971,2020-11-16,11
146,2020-11-17,3688,2020-11-17,11
203,2020-11-18,3346,2020-11-18,11
190,2020-11-19,3418,2020-11-19,11
168,2020-11-20,3554,2020-11-20,11
491,2020-11-21,1875,2020-11-21,11
647,2020-11-22,930,2020-11-22,11
61,2020-11-23,4255,2020-11-23,11
12,2020-11-24,5662,2020-11-24,11
143,2020-11-25,3719,2020-11-25,11
657,2020-11-26,880,2020-11-26,11
184,2020-11-27,3495,2020-11-27,11
482,2020-11-28,1954,2020-11-28,11
572,2020-11-29,1193,2020-11-29,11
29,2020-11-30,4899,2020-11-30,11
35,2020-12-01,4668,2020-12-01,12
90,2020-12-02,4003,2020-12-02,12
137,2020-12-03,3750,2020-12-03,12
191,2020-12-04,3413,2020-12-04,12
396,2020-12-05,2334,2020-12-05,12
555,2020-12-06,1344,2020-12-06,12
8,2020-12-07,5986,2020-12-07,12
50,2020-12-08,4400,2020-12-08,12
98,2020-12-09,3962,2020-12-09,12
102,2020-12-10,3941,2020-12-10,12
148,2020-12-11,3687,2020-12-11,12
486,2020-12-12,1919,2020-12-12,12
593,2020-12-13,1102,2020-12-13,12
159,2020-12-14,3600,2020-12-14,12
233,2020-12-15,3088,2020-12-15,12
162,2020-12-16,3588,2020-12-16,12
317,2020-12-17,2588,2020-12-17,12
323,2020-12-18,2567,2020-12-18,12
505,2020-12-19,1770,2020-12-19,12
658,2020-12-20,878,2020-12-20,12
70,2020-12-21,4145,2020-12-21,12
15,2020-12-22,5463,2020-12-22,12
155,2020-12-23,3616,2020-12-23,12
243,2020-12-24,2987,2020-12-24,12
684,2020-12-25,714,2020-12-25,12
506,2020-12-26,1761,2020-12-26,12
571,2020-12-27,1202,2020-12-27,12
31,2020-12-28,4825,2020-12-28,12
32,2020-12-29,4775,2020-12-29,12
37,2020-12-30,4554,2020-12-30,12
187,2020-12-31,3458,2020-12-31,12
562,2021-01-01,1278,2021-01-01,1
439,2021-01-02,2223,2021-01-02,1
547,2021-01-03,1388,2021-01-03,1
3,2021-01-04,6572,2021-01-04,1
22,2021-01-05,5038,2021-01-05,1
134,2021-01-06,3765,2021-01-06,1
96,2021-01-07,3973,2021-01-07,1
130,2021-01-08,3786,2021-01-08,1
461,2021-01-09,2082,2021-01-09,1
554,2021-01-10,1344,2021-01-10,1
39,2021-01-11,4531,2021-01-11,1
150,2021-01-12,3667,2021-01-12,1
106,2021-01-13,3929,2021-01-13,1
179,2021-01-14,3516,2021-01-14,1
95,2021-01-15,3980,2021-01-15,1
504,2021-01-16,1774,2021-01-16,1
617,2021-01-17,1031,2021-01-17,1
283,2021-01-18,2757,2021-01-18,1
1,2021-01-19,6726,2021-01-19,1
74,2021-01-20,4081,2021-01-20,1
125,2021-01-21,3823,2021-01-21,1
94,2021-01-22,3992,2021-01-22,1
403,2021-01-23,2319,2021-01-23,1
561,2021-01-24,1290,2021-01-24,1
43,2021-01-25,4505,2021-01-25,1
46,2021-01-26,4453,2021-01-26,1
78,2021-01-27,4071,2021-01-27,1
142,2021-01-28,3719,2021-01-28,1
65,2021-01-29,4237,2021-01-29,1
376,2021-01-30,2369,2021-01-30,1
546,2021-01-31,1399,2021-01-31,1
510,2021-02-01,1747,2021-02-01,2
385,2021-02-02,2352,2021-02-02,2
183,2021-02-03,3501,2021-02-03,2
217,2021-02-04,3187,2021-02-04,2
163,2021-02-05,3584,2021-02-05,2
494,2021-02-06,1846,2021-02-06,2
651,2021-02-07,906,2021-02-07,2
10,2021-02-08,5802,2021-02-08,2
34,2021-02-09,4720,2021-02-09,2
178,2021-02-10,3518,2021-02-10,2
145,2021-02-11,3700,2021-02-11,2
230,2021-02-12,3123,2021-02-12,2
526,2021-02-13,1563,2021-02-13,2
655,2021-02-14,885,2021-02-14,2
386,2021-02-15,2351,2021-02-15,2
199,2021-02-16,3367,2021-02-16,2
119,2021-02-17,3867,2021-02-17,2
63,2021-02-18,4243,2021-02-18,2
226,2021-02-19,3144,2021-02-19,2
513,2021-02-20,1731,2021-02-20,2
549,2021-02-21,1378,2021-02-21,2
104,2021-02-22,3935,2021-02-22,2
2,2021-02-23,6601,2021-02-23,2
91,2021-02-24,4001,2021-02-24,2
20,2021-02-25,5085,2021-02-25,2
211,2021-02-26,3253,2021-02-26,2
516,2021-02-27,1696,2021-02-27,2
