,zip_code,march_20,april_20,diff,diffpct
656,11108,4,2,2,100.00
657,77034,4,3,1,33.33
658,11252,4,3,1,33.33
659,12549,4,2,2,100.00
660,13731,4,4,0,0.00
661,12484,4,4,0,0.00
662,7305,4,5,-1,-20.00
663,11343,4,3,1,33.33
664,7042,4,2,2,100.00
665,14221,4,3,1,33.33
666,13820,4,3,1,33.33
667,12123,4,3,1,33.33
668,11952,4,3,1,33.33
669,12563,4,2,2,100.00
670,13839,4,2,2,100.00
671,7666,4,3,1,33.33
672,11548,4,3,1,33.33
673,38105,4,5,-1,-20.00
674,12473,4,4,0,0.00
675,12521,4,9,-5,-55.56
676,33160,4,1,3,300.00
677,7018,4,2,2,100.00
678,7032,4,5,-1,-20.00
679,12472,4,4,0,0.00
680,12586,3,5,-2,-40.00
681,11571,3,4,-1,-25.00
682,12569,3,3,0,0.00
683,12061,3,2,1,50.00
684,12474,3,4,-1,-25.00
685,12204,3,1,2,200.00
686,12792,3,1,2,200.00
687,23320,3,4,-1,-25.00
688,11769,3,5,-2,-40.00
689,1230,3,1,2,200.00
690,11721,3,3,0,0.00
691,14201,3,2,1,50.00
692,11547,3,4,-1,-25.00
693,10278,3,7,-4,-57.14
694,12759,3,4,-1,-25.00
695,12866,3,6,-3,-50.00
696,7074,3,4,-1,-25.00
697,11752,3,2,1,50.00
698,10548,3,2,1,50.00
699,12106,3,2,1,50.00
700,7003,3,1,2,200.00
701,12783,3,3,0,0.00
702,11802,3,4,-1,-25.00
703,8830,3,3,0,0.00
704,14527,3,1,2,200.00
705,10125,3,2,1,50.00
706,7716,3,2,1,50.00
707,12173,3,3,0,0.00
708,10597,3,1,2,200.00
709,14225,3,1,2,200.00
710,12469,3,3,0,0.00
711,13904,3,1,2,200.00
712,11304,3,7,-4,-57.14
713,12122,3,2,1,50.00
714,7011,3,1,2,200.00
715,12803,3,3,0,0.00
716,13492,3,1,2,200.00
717,13212,3,2,1,50.00
718,10589,3,4,-1,-25.00
719,7751,3,3,0,0.00
720,8540,3,4,-1,-25.00
721,13208,3,3,0,0.00
722,12580,3,3,0,0.00
723,8901,3,2,1,50.00
