,full,ENTRIES_x,EXITS                                                               _x,change_x,ENTRIES_y,EXITS                                                               _y,change_y,diff,pct
44,176 ST IRT,15038772224.0,11402600378.0,34222,609770321,412237267,14383,-19839,-57.97148033428788
45,18 AV BMT,82346020581.0,54053585293.0,67729,77865670743,51324434560,28485,-39244,-57.94268334096178
46,18 AV IND,1039364716.0,748792716.0,24883,613342427,516310626,8393,-16490,-66.27014427520798
47,18 ST IRT,5141217029.0,493454297.0,48028,4447231049,375600043,8980,-39048,-81.30257349879237
48,181 ST IND,2293531122.0,1909931553.0,71580,2628735599,2233583393,22281,-49299,-68.87259010896899
49,182-183 STS IND,641257999.0,293863198.0,20673,648846553,301517692,6799,-13874,-67.11169157838727
50,183 ST IRT,188835701395.0,113064774772.0,32933,188867302121,113087917546,16453,-16480,-50.04099231773601
51,190 ST IND,501181059.0,102160617.0,19321,503333824,102229584,3217,-16104,-83.34972309921847
52,191 ST IRT,180694647.0,220470241.0,7793,18154295547,40340963052,16102,8309,106.6213268317721
53,2 AV IND,5505208601.0,3915691735.0,106909,3324708020,3198496198,22387,-84522,-79.05976110523903
54,20 AV BMT,1299295462.0,840204686.0,56561,1023530106,710203143,19446,-37115,-65.619419741518
55,207 ST IRT,6159212558.0,208233043.0,30487,6280077024,243513321,13337,-17150,-56.25348509200643
56,21 ST IND,187456681.0,189148101.0,10663,193249895,196442087,4000,-6663,-62.487104942323924
57,21 ST-QNSBRIDGE IND,1890453022.0,1625492602.0,65980,1950870069,1687282773,21675,-44305,-67.14913610184905
58,215 ST IRT,223938007.0,6979051326.0,10007,224898472,6981890287,3396,-6611,-66.06375537124013
59,219 ST IRT,38484212769.0,13675689428.0,19947,37568614760,13352170900,7475,-12472,-62.5256930866797
60,225 ST IRT,80441676005.0,27333524002.0,24453,78497657337,26675456257,9558,-14895,-60.91277143908723
61,23 ST BMT,6380068296.0,1544379733.0,134904,5876736431,1443675884,22819,-112085,-83.08500859870723
62,23 ST IND,65615440264.0,83967278791.0,296969,66986763808,85721426110,64273,-232696,-78.35700022561277
63,23 ST IRT,83601229549.0,63869048086.0,263272,83432281679,63797248019,50189,-213083,-80.93644595703303
64,231 ST IRT,2065069071.0,90658756.0,63460,2102359078,96751474,22906,-40554,-63.904821935077216
65,233 ST IRT,4168776856.0,268147256.0,29670,4187929219,275601917,12941,-16729,-56.383552409841585
66,238 ST IRT,999947538.0,47045867.0,23957,988377071,47826732,8648,-15309,-63.901991067328964
67,25 AV BMT,441483369.0,121775323.0,30798,425271793,119349787,8454,-22344,-72.55016559516851
68,25 ST BMT,787209985.0,878990074.0,22145,884355858,864960800,9083,-13062,-58.9839692932942
69,28 ST BMT,1504359269.0,1996442832.0,74877,1486962347,1929410317,14361,-60516,-80.82054569493971
70,28 ST IRT,22270135934.0,28153998639.0,199827,2707774365,2891999935,44413,-155414,-77.77427474765672
71,3 AV 138 ST IRT,574059907.0,323242169.0,40201,607367131,347005259,15546,-24655,-61.329320166165026
72,3 AV BMT,792698582.0,927247819.0,36706,1082038182,1139777066,11396,-25310,-68.95330463684411
73,3 AV-149 ST IRT,91039754597.0,67791017421.0,128797,93697363680,70875359333,51423,-77374,-60.0743806144553
74,30 AV BMT,1313838589.0,1737074326.0,88383,1365317911,1791164624,27112,-61271,-69.3244175916183
75,33 ST IRT,15606098680.0,7224619260.0,151641,11678419495,5015038085,42020,-109621,-72.28981607876499
76,33 ST-RAWSON ST IRT,1614744420.0,1539789585.0,54412,1596267076,1533014850,12868,-41544,-76.35080496949203
77,34 ST-HERALD SQ BMT,9140645276.0,5912715120.0,257628,8792126613,5881094780,63720,-193908,-75.26666356141412
78,34 ST-HERALD SQ IND,60470536607.0,59213054159.0,390261,49644128349,48157728653,93477,-296784,-76.04756816591973
79,34 ST-HUDSON YD IRT,725256096.0,690827313.0,117553,614310602,607748856,22938,-94615,-80.48709943599907
80,34 ST-PENN STA IND,59476060107.0,64724932097.0,458980,58730540417,64829113404,101405,-357575,-77.90644472526036
81,34 ST-PENN STA IRT,126033239992.0,99460445286.0,449157,111830742096,88662125821,101924,-347233,-77.30771200270729
82,36 AV BMT,1477481111.0,1385842087.0,40658,1490142923,1396883660,13252,-27406,-67.40616852771902
83,36 ST BMT,2156737308.0,1313477700.0,85302,1930443302,1010023965,35629,-49673,-58.231928911397155
84,36 ST IND,4336256501.0,197937944.0,26559,3783137676,181968389,6877,-19682,-74.10670582476749
85,39 AV BMT,355163258.0,318117111.0,19058,356338242,322138549,6038,-13020,-68.31776681708469
86,4 AV-9 ST IND,1133291556.0,1185350872.0,23472,1174256597,1233597234,7426,-16046,-68.36230402181323
87,40 ST LOWERY ST IRT,2946043578.0,1846699031.0,61545,2500795336,1588086222,19105,-42440,-68.95767324721749
88,42 ST-BRYANT PK IND,88987166061.0,61402181783.0,239734,86644531645,59959344512,44387,-195347,-81.48489575946675
89,42 ST-PORT AUTH IND,220661099397.0,171578015054.0,530157,209012598674,161843519446,123630,-406527,-76.68049275969194
90,45 ST BMT,555377350.0,457547331.0,46911,595732924,493489458,19114,-27797,-59.25475901174565
91,46 ST BLISS ST IRT,2589683159.0,1586216677.0,78966,2721334196,1691604613,29009,-49957,-63.26393637768153
92,46 ST IND,739221898.0,919096068.0,50550,700256496,873112020,16782,-33768,-66.80118694362018
93,47-50 STS ROCK IND,128138034618.0,87065659933.0,336798,84471558996,88407980671,67860,-268938,-79.85142429586874
94,49 ST BMT,3522767681.0,3343610743.0,127439,3813856190,3922863559,20002,-107437,-84.30464771380818
95,4AV-9 ST BMT,1332970224.0,780633199.0,56859,9750964423,809580318,16146,-40713,-71.60344008864033
96,5 AV/53 ST IND,3810611175.0,4255439024.0,144367,3479731134,3887269676,22724,-121643,-84.25956070293073
97,5 AV/59 ST BMT,6931208546.0,1894108572.0,83226,5071280002,1314357796,23639,-59587,-71.59661644197726
98,5 AVE IRT,5894496975.0,385161185.0,85746,5919208729,413400191,15389,-70357,-82.05280712802929
99,50 ST BMT,536840012.0,517160272.0,20284,555119038,536045852,9600,-10684,-52.67205679353185
100,50 ST IND,15306671517.0,14428258627.0,118770,15875006716,14861640509,19210,-99560,-83.82588195672308
101,50 ST IRT,3471350104.0,3712072344.0,144011,2473906802,2946860405,18738,-125273,-86.98849393449112
102,51 ST IRT,27695108731.0,28727942562.0,114356,26493279070,27487414390,19353,-95003,-83.07653293224668
103,52 ST IRT,996865501.0,990324241.0,39404,956105909,949813728,22348,-17056,-43.28494569079282
