date,NYC driving,NYC transit,NYC walking,Bronx driving,Bronx transit,Bronx walking,Brooklyn driving,Brooklyn transit,Brooklyn walking,Manhattan driving,Manhattan transit,Manhattan walking,Queens driving,Queens transit,Queens walking,Staten Island driving,Staten Island transit,Staten Island walking
6/24/20,106.8385714,32.75357143,61.65,119.5164286,52.56785714,111.9371429,111.9721429,43.55714286,87.68357143,47.94285714,17.33642857,21.38428571,103.5721429,40.13142857,93.89571429,121.5757143,46.61214286,133.8164286
6/25/20,108.74,33.52642857,63.105,121.3257143,53.56142857,113.655,113.7535714,44.65428571,89.64214286,49.02142857,17.82142857,22.14857143,105.2778571,41.075,95.56142857,123.745,47.93285714,136.3807143
6/26/20,109.9892857,34.14928571,63.93928571,122.7142857,54.38928571,114.8785714,114.9821429,45.51785714,90.74642857,49.87142857,18.25928571,22.725,106.4442857,41.77571429,96.4,124.93,48.92285714,138.0442857
6/27/20,110.2978571,34.49428571,63.87214286,122.9778571,54.80642857,114.9721429,115.3578571,45.98142857,90.165,50.22214286,18.49642857,22.77071429,106.8535714,42.15285714,96.475,125.4921429,49.47214286,138.6278571
6/28/20,111.0278571,34.94714286,64.24428571,123.7485714,55.32428571,115.4292857,116.145,46.60142857,90.09214286,50.86357143,18.84785714,23.145,107.6242857,42.64071429,96.91142857,126.5978571,50.015,139.1307143
6/29/20,112.2907143,35.60214286,65.02714286,125.0521429,56.14,116.4535714,117.5171429,47.63714286,91.06928571,51.59357143,19.26928571,23.65428571,108.8207143,43.39,97.96785714,127.9985714,51.12785714,140.4642857
6/30/20,113.0635714,36.05857143,65.40857143,125.9414286,56.83,116.8907143,118.4878571,48.28,91.47357143,52.31142857,19.61142857,24.02857143,109.6314286,43.94214286,98.32285714,128.5628571,51.53571429,139.9185714
7/1/20,113.9478571,36.55357143,65.79642857,127.0371429,57.55928571,117.5464286,119.4878571,48.92571429,91.86857143,53.07214286,19.93928571,24.38571429,110.6492857,44.57785714,98.97357143,129.1507143,52.14,139.4292857
7/2/20,115.9771429,37.38428571,66.96714286,129.2178571,58.40214286,118.9014286,121.6514286,50.17714286,93.57857143,54.345,20.50928571,25.04571429,112.9807143,45.62571429,100.6921429,131.0221429,53.30071429,140.9835714
7/3/20,115.6714286,37.43071429,66.4,129.0207143,58.44285714,118.0157143,120.7028571,50.18785714,91.82142857,53.75428571,20.49,24.80214286,112.7528571,45.72642857,100.2142857,131.0521429,53.67928571,140.2028571
