pickup_datetime,pickup_datetime,duration_mean,duration_median,count
9,30,1081.6512221502255,892.0,405883
10,1,1118.3706963299437,913.0000000000001,426206
10,2,1104.2312765197103,913.0000000000001,486902
10,3,1025.0529467423369,878.0,521033
10,4,949.2682872564762,821.0,413512
10,5,1025.1846894034143,856.0,344611
10,6,1034.8996924625364,860.0,357680
10,7,1039.7138653468392,863.0,377221
10,8,1072.8629904240079,884.0,397870
10,9,1103.5584577060165,903.0,458434
10,10,1033.3983217887032,879.0,499222
10,11,938.9547185940387,811.0,397735
10,12,922.9801939905511,773.0,371049
10,13,1039.340598492979,854.0,356863
10,14,1075.2090134604657,887.0,380076
10,15,1113.937695924765,913.0000000000001,408320
10,16,1051.0014257887815,860.0,505685
10,17,1027.5764144764998,881.0,502359
10,18,973.4941769115442,834.0,416875
10,19,1039.2789475207687,863.0,345470
10,20,1038.609006668302,862.0,358712
10,21,1046.777344892445,871.0,372693
10,22,1085.3435553606116,899.0,398975
10,23,1096.263496489654,914.0000000000001,464769
10,24,1016.1603192578574,879.0,515696
10,25,970.2892562776922,829.0,416634
10,26,1046.1613381844095,858.0,359233
10,27,1043.1990876986463,866.0,366984
10,28,1057.982566267304,877.0,402725
10,29,1048.807924444408,855.0,485788
10,30,1062.694133718233,877.0,543172
10,31,1007.6881796460563,871.0,596818
11,1,889.9769168164887,791.0,487801
11,2,1047.5594414948066,861.0,366335
11,3,957.0590116161412,810.0,370605
11,4,1000.3242809631881,839.0,350295
11,5,1068.9074643929437,886.0,374364
11,6,1098.6082180943783,911.0,447476
11,7,1041.228436793336,898.0,511647
11,8,985.0877299319448,841.0,412459
11,9,1042.2651428294848,867.0,330569
11,10,1071.9331595130323,884.0,344417
11,11,984.3728800448132,824.0,374890
11,12,1057.0462107849937,866.0,403672
11,13,1070.5499480865412,886.0,463271
11,14,1017.9192057279474,872.0,480591
11,15,935.7754449245346,801.0,369838
11,16,1044.572781057984,861.0,333143
11,17,1026.073119427087,851.0,356075
11,18,1047.1952322665004,857.0,383159
11,19,1056.3044199708631,871.0,380274
11,20,1102.43913506129,907.0,430412
11,21,1018.4027469472085,874.0,442382
11,22,940.6543153462168,805.0,345766
11,23,1043.0674736516164,849.0,348788
11,24,1084.12549910294,876.0,358393
11,25,1080.6156182884629,869.0,380874
11,26,927.9856353936402,798.0,384069
11,27,925.3515689164246,796.0,349445
11,28,942.3205358182877,815.0,343400
11,29,945.5613222246956,805.0,314470
11,30,983.3527247589931,808.0,345737
12,1,1010.2373607112293,844.0,340031
12,2,997.9512040594168,832.0,347242
12,3,1024.6853072341278,859.0,359449
12,4,1044.3040293987642,865.0,425324
12,5,926.7702083090888,802.0,429650
12,6,920.970659302727,792.0,370816
12,7,984.9608816354,825.0,332836
12,8,983.1079422095415,821.0,351892
12,9,999.1766995773282,831.0,368371
12,10,1048.7688648528454,868.0,377766
12,11,1058.9913965446701,885.0,430176
12,12,975.7130383747389,845.0,429371
12,13,963.9454357389968,825.0,370279
12,14,1008.4183514067746,831.0,352082
12,15,1077.575068525293,873.0,375044
12,16,1054.5099379099304,858.0,371557
12,17,959.3760031751798,817.0,297306
12,18,1103.3433898760054,930.0000000000001,484295
12,19,1030.9563176003605,888.0,461536
12,20,963.0510376987623,824.0,368845
12,21,1119.3149737175052,905.0,362789
12,22,1119.270409526253,904.0,378071
12,23,1177.4630764968138,926.0000000000001,397010
12,24,1040.1077940003117,858.0,436156
12,25,903.8913079082827,777.0,341920
12,26,918.3442611599485,787.0,317721
12,27,922.4432660827714,786.0,285896
12,28,988.6508545703244,825.0,301204
12,29,985.8293384090709,821.0,330461
12,30,1014.6148636402926,841.0,358647
12,31,952.0737140840514,813.0,476042
