GEO_ID,NAME,B11001_001E
id,Geographic Area Name,Estimate!!Total:
8600000US12189,ZCTA5 12189,8303
8600000US12190,ZCTA5 12190,160
8600000US12192,ZCTA5 12192,722
8600000US12193,ZCTA5 12193,791
8600000US12194,ZCTA5 12194,58
8600000US12195,ZCTA5 12195,65
8600000US12196,ZCTA5 12196,1279
8600000US12197,ZCTA5 12197,778
8600000US12198,ZCTA5 12198,3088
8600000US12202,ZCTA5 12202,4114
8600000US12203,ZCTA5 12203,13199
8600000US12204,ZCTA5 12204,3946
8600000US12205,ZCTA5 12205,11061
8600000US12206,ZCTA5 12206,6228
8600000US12207,ZCTA5 12207,1179
8600000US12208,ZCTA5 12208,9901
8600000US12209,ZCTA5 12209,4154
8600000US12210,ZCTA5 12210,5273
8600000US12211,ZCTA5 12211,4153
8600000US12222,ZCTA5 12222,15
8600000US12302,ZCTA5 12302,9915
8600000US12303,ZCTA5 12303,10373
8600000US12304,ZCTA5 12304,8137
8600000US12305,ZCTA5 12305,2296
8600000US12306,ZCTA5 12306,9271
8600000US12307,ZCTA5 12307,2099
8600000US12308,ZCTA5 12308,4955
8600000US12309,ZCTA5 12309,10709
8600000US12401,ZCTA5 12401,14313
8600000US12404,ZCTA5 12404,1315
8600000US12405,ZCTA5 12405,183
8600000US12406,ZCTA5 12406,452
8600000US12407,ZCTA5 12407,85
8600000US12409,ZCTA5 12409,317
8600000US12410,ZCTA5 12410,206
8600000US12411,ZCTA5 12411,128
8600000US12412,ZCTA5 12412,193
8600000US12413,ZCTA5 12413,1034
8600000US12414,ZCTA5 12414,4083
8600000US12416,ZCTA5 12416,144
8600000US12417,ZCTA5 12417,144
8600000US12418,ZCTA5 12418,146
8600000US12419,ZCTA5 12419,228
8600000US12420,ZCTA5 12420,106
8600000US12421,ZCTA5 12421,127
8600000US12422,ZCTA5 12422,115
8600000US12423,ZCTA5 12423,416
8600000US12424,ZCTA5 12424,122
8600000US12427,ZCTA5 12427,117
8600000US12428,ZCTA5 12428,2579
